ctrl,m2,m1,m3,sim_time,log_time
0,46942.0,144093.0,7.0,335.78,2021-04-04 14:06:15
0,47584.0,145939.0,7.0,336.33,2021-04-04 14:18:00
0,47084.0,146809.0,3.0,336.87,2021-04-04 14:29:53
0,46886.0,146971.0,2.0,337.44,2021-04-04 14:41:45
0,47246.0,146692.0,6.0,337.96,2021-04-04 14:53:33
0,47169.0,146644.0,4.0,338.5,2021-04-04 15:05:10
0,47316.0,146438.0,3.0,339.04,2021-04-04 15:16:49
0,47145.0,146524.0,3.0,339.63,2021-04-04 15:28:27
0,47160.0,146512.0,3.0,340.19,2021-04-04 15:40:39
0,47251.0,146627.0,4.0,340.76,2021-04-04 15:52:11
0,47409.0,146493.0,1.0,341.3,2021-04-04 16:04:07
0,47458.0,146467.0,1.0,341.87,2021-04-04 16:15:48
0,47644.0,146231.0,5.0,342.44,2021-04-04 16:27:26
0,47027.0,146977.0,2.0,343.01,2021-04-04 16:39:14
0,46776.0,147271.0,1.0,343.52,2021-04-04 16:51:02
0,47271.0,146818.0,3.0,344.02,2021-04-04 17:02:57
0,47870.0,146248.0,2.0,344.52,2021-04-04 17:14:37
0,47970.0,146026.0,1.0,345.06,2021-04-04 17:26:40
0,48273.0,145870.0,5.0,345.57,2021-04-04 17:38:10
0,47849.0,146136.0,3.0,346.13,2021-04-04 17:50:04
0,47434.0,146632.0,,346.71,2021-04-04 18:02:01
0,47256.0,146802.0,2.0,347.32,2021-04-04 18:14:13
0,47206.0,146706.0,3.0,347.89,2021-04-04 18:25:53
0,47065.0,146738.0,4.0,348.44,2021-04-04 18:37:40
0,46840.0,146879.0,1.0,348.95,2021-04-04 18:49:27
0,47163.0,146678.0,3.0,349.47,2021-04-04 19:01:11
0,47385.0,146466.0,1.0,350.01,2021-04-04 19:13:16
0,47031.0,146524.0,2.0,350.58,2021-04-04 19:25:20
0,46743.0,146849.0,4.0,351.11,2021-04-04 19:37:13
0,46304.0,147229.0,1.0,351.67,2021-04-04 19:48:56
0,46353.0,147210.0,,352.22,2021-04-04 20:01:17
0,46324.0,147209.0,,352.78,2021-04-04 20:13:24
0,46565.0,146800.0,,353.33,2021-04-04 20:25:07
0,47163.0,146424.0,,353.91,2021-04-04 20:36:56
0,47296.0,146305.0,2.0,354.47,2021-04-04 20:48:49
0,47155.0,146504.0,1.0,355.06,2021-04-04 21:00:42
0,47165.0,146449.0,1.0,355.62,2021-04-04 21:12:36
0,47467.0,146167.0,1.0,356.19,2021-04-04 21:24:22
0,47776.0,145885.0,2.0,356.81,2021-04-04 21:36:25
0,47983.0,145997.0,4.0,357.39,2021-04-04 21:47:48
0,48403.0,145574.0,2.0,357.97,2021-04-04 22:00:03
0,48594.0,145641.0,3.0,358.59,2021-04-04 22:12:18
0,48165.0,146119.0,3.0,359.18,2021-04-04 22:24:31
0,47951.0,146362.0,3.0,359.77,2021-04-04 22:36:41
0,47694.0,146606.0,14.0,360.38,2021-04-04 22:49:06
0,47658.0,146533.0,23.0,360.98,2021-04-04 23:01:00
0,47446.0,146869.0,38.0,361.59,2021-04-04 23:12:49
0,47750.0,146501.0,35.0,362.15,2021-04-04 23:25:15
0,47542.0,146704.0,67.0,362.73,2021-04-04 23:37:13
0,47440.0,146694.0,75.0,363.33,2021-04-04 23:48:53
0,47329.0,146530.0,100.0,363.9,2021-04-05 00:00:56
0,47321.0,146336.0,145.0,364.48,2021-04-05 00:13:15
0,46886.0,146689.0,134.0,365.01,2021-04-05 00:25:15
0,46915.0,146522.0,121.0,365.5,2021-04-05 00:37:01
0,47377.0,146228.0,1245.0,366.03,2021-04-05 00:49:00
0,47433.0,146269.0,3971.0,366.57,2021-04-05 01:01:05
0,47155.0,146422.0,6420.0,367.07,2021-04-05 01:12:45
0,47073.0,146496.0,9116.0,367.61,2021-04-05 01:24:37
0,47356.0,146364.0,11883.0,368.16,2021-04-05 01:36:35
0,47333.0,146191.0,14374.0,368.66,2021-04-05 01:48:40
0,47010.0,146218.0,16850.0,369.17,2021-04-05 02:00:28
0,46939.0,146255.0,20113.0,369.71,2021-04-05 02:12:25
0,47385.0,146043.0,25431.0,370.25,2021-04-05 02:24:42
0,47544.0,146000.0,30473.0,370.76,2021-04-05 02:36:32
0,47580.0,145952.0,35810.0,371.31,2021-04-05 02:47:58
0,47662.0,145904.0,41013.0,371.84,2021-04-05 02:59:42
0,47754.0,145950.0,45855.0,372.34,2021-04-05 03:11:41
0,47463.0,146097.0,50682.0,372.86,2021-04-05 03:23:44
0,47666.0,146016.0,55707.0,373.4,2021-04-05 03:35:33
0,47415.0,146169.0,60644.0,373.94,2021-04-05 03:47:22
0,47129.0,146774.0,65642.0,374.5,2021-04-05 03:59:32
0,47031.0,146970.0,70268.0,375.02,2021-04-05 04:11:20
0,47228.0,146916.0,74902.0,375.53,2021-04-05 04:23:12
0,47381.0,146691.0,78362.0,376.04,2021-04-05 04:34:57
0,47798.0,146297.0,80637.0,376.54,2021-04-05 04:46:34
0,47462.0,146635.0,83032.0,377.08,2021-04-05 04:58:25
0,46969.0,146986.0,85406.0,377.62,2021-04-05 05:10:07
0,47148.0,146582.0,87751.0,378.14,2021-04-05 05:22:10
